회차,등수,번호,상호명,주소
263,2,4,복권나라,서울 성동구 용답중앙15길 12-1 1층
263,2,5,청솔서점,부산 사하구 하신번영로 195
263,2,6,자유극장옆토큰판매소,대구 중구 중앙대로 446-2
263,2,7,홈돌이로또,인천 계양구 장제로 879
263,2,8,대농슈퍼,인천 미추홀구 길파로28번길 18 101호 일부(주안동)
263,2,9,로또주안점,인천 남구 숭의동  408-7
263,2,10,진플러스안경,대전 중구 대종로 301-1
263,2,11,천하복권방,울산 동구 전하로 29
263,2,12,천하명당,울산 중구 학산동  90-10
263,2,13,미래복권닷컴,경기 성남시 분당구 서현동 서현동 312-2
263,2,14,로또까르푸오리점,경기 성남시 분당구 구미동 구미동 159 한국까르푸오리점 B1F
263,2,15,GS25(수원행복),경기 수원시 영통구 영통동 영통동 974-6 세일빌딩111
263,2,16,행운주는로또판매,경기 안산시 단원구 초지로 90 태영프라자111호
263,2,17,훼미리(의정부호원),경기 의정부시 호원동  442-3 화설프라자 1층
263,2,18,크라운베이커리,경기 의정부시 회룡로 138 대명빌딩 1층
263,2,19,로또,경기 포천시 영중면 양문리 양문리 770-2
263,2,20,복권가판,강원 춘천시 중앙로 65 국민은행앞 가판
263,2,21,백억복권 효성점,충북 청주시 서원구 1순환로1107번길 21 1층 110호
263,2,22,서산휴게소(하)판매,충남 서산시 남원1길 107
263,2,23,천하명당산북점,전북 군산시 동아로 142
263,2,24,팡팡로또복권,전북 김제시 요촌동  산12-25
263,2,25,북부상회,전남 광양시 인덕로 1082
263,2,26,썬마트(왜관공단점),경북 칠곡군 중앙로 95 1층 커피&로또명당
263,2,27,천주산로또,경남 창원시 신촌동  15-12  축산홈마트
264,1,1,C-Space 신림녹두,서울 관악구 신림9동  240-3  밀라트빌딩
264,1,2,미니스톱기장점,부산 기장군 차성동로 69
264,1,3,천하명당초량점,부산 동구 중앙대로221번길 3
264,1,4,복권명당,대구 수성구 수성로 337 1층 동북편상가
264,1,5,LG슈퍼,경기 광명시 연서로 10
264,1,6,당첨로또복권,경기 안양시 동안구 포도원로 4
264,1,7,제철로또대리점,전남 광양시 광장로 125 시티프라자A동116호
264,2,1,가로판매점,서울 강동구 양재대로 1443
264,2,2,행운복권,서울 노원구 동일로 1002 102호
264,2,3,마천할인마트,서울 송파구 마천1동  178-85
264,2,4,동대문1번출구 가판65,서울 종로구 종로 301 1층(솔브 동대문점)
264,2,5,태원정보통신,서울 중랑구 봉우재로33길 80
264,2,6,신평로또복권방,부산 사하구 신평동  135-9
264,2,7,복권명당,대구 수성구 수성로 337 1층 동북편상가
264,2,8,복권명당,대구 수성구 수성로 337 1층 동북편상가
264,2,9,복권명당,대구 수성구 수성로 337 1층 동북편상가
264,2,10,인천네트워크,인천 남동구 논고개로 333 12블록5롯트102호
264,2,11,베로나로또,광주 남구 봉선로 164 CU봉선쌍용점 내
264,2,12,목동행운복권방,대전 중구 목동  5-15번지
264,2,13,데이앤나잇,경기 고양시 덕양구 삼송로 12 102호
264,2,14,훼미리마트(군포덕산),경기 군포시 당동  902 덕산상가 1층
264,2,15,대박나라,경기 부천시 오정구 원종동 원종동 280-1 106호
264,2,16,대박로또판매점,경기 수원시 장안구 율전동 율전동 291  1층 3호
264,2,17,로또복권방,경기 시흥시 대야동  568-2 AC 빌딩 101
264,2,18,포유25다농점,경기 오산시 오산동  924-1 거성그린프라자 114
264,2,19,GS25(신갈주공),경기 용인시 기흥읍 신갈리 신갈리 712 예림프라자 104
264,2,20,복권나라,강원 원주시 북원로 2706 1층
264,2,21,오창중앙복권,충북 청주시 청원구 중심상업로 47 103호
264,2,22,로또복권,충북 청주시 청원구 1순환로330번길 46
264,2,23,대박나라복권방,충남 아산시 서부남로 868 1층
264,2,24,사랑슈퍼,전북 익산시 남중동  36-47
264,2,25,모현로또방,전북 익산시 고현로 109
264,2,26,일레분문수점,전남 여수시 신월로 559 DC마트 신월점내
264,2,27,다원마트,경북 김천시 영남대로 1953
265,1,1,한미복권방,서울 강동구 성내1동  550
265,1,2,교통카드판매대,서울 관악구 신림9동  240-4
265,1,3,세종장식,서울 양천구 오목로 204
265,1,4,가로판매(버스카드),서울 영등포구 여의나루로 42 가로판매점(여의도동)
265,1,5,동아슈퍼마켓,경기 안산시 단원구 원곡동 748-6
265,1,6,태흥금방,경기 의정부시 의정로 118
265,1,7,승일유통,충북 청주시 흥덕구 월명로 42
265,1,8,에버빌마트,경북 안동시 강남5길 102 에버빌마트 1층
265,2,1,경일식품,서울 강동구 둔촌동  87-7
265,2,2,로또복권,서울 광진구 긴고랑로 38
265,2,3,B형5호가로판매점,서울 동작구 노량진동  67-10
265,2,4,이대역4번출구 앞가판,서울 서대문구 신촌로 187
265,2,5,데스콤㈜영등포영업소,서울 영등포구 영중로 48
265,2,6,제일식품,서울 중랑구 상봉동  108
265,2,7,민사로또판매점,부산 금정구 중앙대로1929번길 20 민사공인중개사사무소 내
265,2,8,GS25(서면제일),부산 부산진구 부전동  220-1
265,2,9,왕대박(복권방),대구 북구 칠성남로 143 1층전체
265,2,10,복권세상,광주 광산구 손재로110번길 27 102호 알리바이 내
265,2,11,형제기획  복권시대,광주 동구 금남로5가  99-8번지
265,2,12,로또나라,광주 북구 용봉동  1378-1
265,2,13,공항서점,울산 북구 명촌6길 7
265,2,14,드림복권방,경기 남양주시 별내중앙로 56 메인프라자 1층 105호
265,2,15,미니슈퍼,경기 수원시 영통구 덕영대로 1699 영통빌딩1080호
265,2,16,가두 판매소,경기 안양시 동안구 관양동 관양동 1446-2
265,2,17,청솔로또,강원 강릉시 성남동  100-1
265,2,18,로또복권방,전북 익산시 부송로2길 4 1층
265,2,19,영화마을 흥해점,경북 포항시 북구 흥해로 26
266,1,1,안목마트,서울 강북구 한천로 1024
266,1,2,라스정보통신,서울 강북구 수유동  256-22  미니스톱내
266,1,3,월드컵복권방,경기 광주시 경안로 20
266,2,1,현진식품,서울 구로구 고척1동  52-346
266,2,2,고경식품,서울 구로구 경인로 381
266,2,3,기타_검증용,서울 노원구 상계1동  1132-102
266,2,4,양재10호점,서울 서초구 서초동  61-1 세븐일레븐
266,2,5,노다지,서울 성북구 하월곡동  79-19
266,2,6,신문가판대,서울 중구 세종대로 5-1
266,2,7,충남상회,서울 중구 마장로9길 49-19
266,2,8,노다지 복권방,부산 해운대구 신반송로 179
266,2,9,복권뱅크,대구 서구 평리동  622-8
266,2,10,우리동네,인천 계양구 작전동  912-4 동남롯데상가 105
266,2,11,해피데이,인천 남동구 간석동  205-1 희망백화점 B-206
266,2,12,인천네트워크,인천 남동구 논고개로 333 12블록5롯트102호
266,2,13,행운마트,인천 부평구 배곶남로9번길 4
266,2,14,대한민국마트,대전 유성구 전민로46번길 40 다세대주택 1층
266,2,15,천하명당(염포점),울산 북구 염포로 643
266,2,16,로토피아,경기 광명시 오리로 371 상가1층102호
266,2,17,화인,경기 구리시 교문동  256-9
266,2,18,명당복권방,경기 남양주시 창현로 7
266,2,19,일등복권방,경기 부천시 삼작로 481 영미빌딩
266,2,20,복권명가,경기 성남시 중원구 금상로 70
266,2,21,복권명당,경기 안산시 상록구 건건로 41
266,2,22,천하명당복권방,경기 안성시 중앙로 424
266,2,23,J 마트,경기 안양시 만안구 안양로 145-1
266,2,24,터미널식품,경기 의정부시 동일로 640
266,2,25,GS25(이천현대),경기 이천시 대월면 대흥리 대흥리 산1-6203호
266,2,26,백사행운마트,경기 이천시 백사면 송말리 송말리 98-3번지
266,2,27,대박행진 복권랜드,경기 파주시 금빛로 22 금촌프라자107호
266,2,28,명성복권방,경기 화성시 경기대로 1043
266,2,29,해수로또,충북 청주시 상당구 산성로 22-1
266,2,30,복권방(상동1호점),전남 목포시 상리로9번길 21 복권방 상동1호점
266,2,31,천하명당복권방,전남 순천시 우석로 189 대도아파트 상가1호
266,2,32,천하명당복권방,전남 순천시 해룡면 상삼리 상삼리 622-7
266,2,33,로또복권,경북 구미시 신시로10길 80 1층
266,2,34,안경이야기,경남 마산시 내서읍 삼계리 삼계리 507-1 숲속아파트 주공5단지상가 103 호서원탑훼미리
266,2,35,경일통신,경남 창원시 마산회원구 북성로 340
266,2,36,수산로또점,경남 밀양시 백산로 4 1층
267,1,1,대박예감,경기 화성시 영통로 36 1층
267,1,2,GS25(천안성정),충남 천안시 성정동  193-17번지
267,1,3,로또 코리아북삼점,경북 칠곡군 북삼읍 인평리 인평리 1094-1
267,2,1,신림용꿈돼지꿈,서울 관악구 남부순환로 1869
267,2,2,윤재복권,서울 노원구 월계로53길 21 1층 104호
267,2,3,학림서점,서울 동작구 노량진로 228
267,2,4,로또복권판매점,서울 마포구 신수동  88-9
267,2,5,복권천국방,서울 마포구 동교로 92 1층
267,2,6,삼성게임프라자,서울 서대문구 북아현동  142-2
267,2,7,뉴서울슈퍼,서울 서대문구 서소문로 63
267,2,8,어머화장품,서울 송파구 가락로11길 19
267,2,9,상호,서울 영등포구 양평로 52
267,2,10,GS25(문래한신),서울 영등포구 양평동1가  14-1
267,2,11,가로판매점,서울 용산구 원효로 166
267,2,12,로또복권방,서울 은평구 갈현로 304 1층
267,2,13,수연식품,서울 중랑구 면목로48길 11
267,2,14,쌍둥이슈퍼,서울 중랑구 묵동  235-19 1층 일부
267,2,15,훼미리마트(남천점),부산 수영구 남천동  296-4
267,2,16,훼미리마트(민락해변),부산 수영구 민락동  176-14
267,2,17,토큰박스(아카데미),대구 중구 중앙대로 390 승강장옆
267,2,18,아스타,광주 서구 상무대로 917
267,2,19,예스24로또,"경기 남양주시 경춘로1256번길 6 112,113호"
267,2,20,행운로또복권,경기 수원시 팔달구 인계동 인계동 907-3
267,2,21,대박복권,경기 수원시 영통구 매탄로204번길 2 1층 일부(매탄동)
267,2,22,행운복권방,경기 포천시 솔모루로 86-1
267,2,23,파란만장복권방,경기 화성시 태안읍 진안리 진안리 878-9  101
267,2,24,훼미리마트(단계공원),강원 원주시 단계동  853
267,2,25,터미널잡화,충북 청주시 흥덕구 풍산로 6 시외버스터미널 내
267,2,26,알리바이부영점,전남 목포시 옥암동  1007-5
267,2,27,로또복권대박,경북 상주시 상산로 338
267,2,28,로또성주점,경북 성주군 성주읍 경산리 경산리 663번지
268,1,1,자양사거리 가로매점,서울 광진구 자양로 95
268,1,2,행운복권방,서울 은평구 연서로 258 상가102호
268,1,3,공단휴게실,충북 청주시 흥덕구 복대동 100-15번지
268,1,4,일공공일 안경콘택트,경북 구미시 구미중앙로5길 2
268,1,5,영덕로또복권,경북 영덕군 덕곡길 128
268,1,6,사랑의 꽃집,경북 영주시 하망동  247-9
268,1,7,GS25(창원서광),경남 창원시 중앙동  1004 서광오피스텔
268,2,1,디오니스,서울 강북구 미아동  1339-1 세븐데이즈
268,2,2,복권나라,서울 관악구 은천로 40-1
268,2,3,화인서비스,서울 광진구 중곡동  172-52
268,2,4,가판점,서울 노원구 동일로 1231-2
268,2,5,영아식품,서울 동대문구 전농로 129
268,2,6,복권만화,서울 서초구 사임당로 39 1층 102호
268,2,7,버스충전소,서울 서초구 신반포로 177 반포쇼핑3동정문앞
268,2,8,롯데가판점,서울 송파구 잠실동  40-1 롯데백화점옆가판점
268,2,9,가로판매점,서울 송파구 가락동  96-15 가락시장건너편 가판점
268,2,10,삼우식품,서울 영등포구 영등포동7가  41번지
268,2,11,프라자호텔뒤가판점,서울 중구 을지로 55 하나은행별관앞가판
268,2,12,대박챤스복권방,부산 금정구 서동로 130
268,2,13,기타_검증용,부산 부산진구 부전동  573-1복권판매대제4번
268,2,14,칠곡스포츠,대구 북구 칠곡중앙대로 311
268,2,15,제일마트,인천 남동구 논고개로 77
268,2,16,행운마트,인천 부평구 배곶남로9번길 4
268,2,17,복권천국,인천 부평구 평천로391번길 4 102호
268,2,18,미니스톱운암점,광주 북구 운암동  434-60
268,2,19,복권천하문화점,대전 중구 천근로 23
268,2,20,오렌지24시마트,울산 북구 명촌4길 10 1층
268,2,21,21세기복권나라,경기 성남시 중원구 둔촌대로 361 (하대원동)
268,2,22,로또복권,경기 수원시 장안구 천천동 천천동 502-4
268,2,23,복권식품,경기 안산시 단원구 원곡동 원곡동 775-2
268,2,24,복복권,경기 양평군 양평읍 양근리 양근리 350
268,2,25,복권나라,경기 양평군 양근로190번길 2 1층
268,2,26,행운복권마트,경기 포천시 신읍동  58-16
268,2,27,천하명당복권방,경기 화성시 남양시장로 83
268,2,28,율암25시 편의점,경기 화성시 시청로 822
268,2,29,황제슈퍼,강원 강릉시 교동  162-117
268,2,30,천하제일 복권 연무,충남 논산시 연무읍 안심리 안심리 1126-36
268,2,31,로또복권장항점,충남 서천군 장항읍  창선리   632-2
268,2,32,팡팡로또복권대리점,전북 남원시 동림로 102-1
268,2,33,모현로또방,전북 익산시 고현로 109
268,2,34,기타_검증용,경남 김해시 계동로 220 102호 복권판매점
268,2,35,GS25(양산신평),경남 양산시 하북면 순지리 순지리 691
269,1,1,버스카드판매대,서울 관악구 신림로 145-2
269,1,2,스파,서울 노원구 동일로 1493 주공10단지종합상가111
269,1,3,제일통신,서울 노원구 중계동  591 대호프라자 1층106
269,1,4,가판,서울 마포구 도화2동  169 고려2 앞가판
269,1,5,서울수퍼,서울 중랑구 동일로 809-1
269,2,1,버스카드충전소,서울 강남구 테헤란로 625 삼성동 덕명빌딩 앞
269,2,2,노다지복권방,서울 강동구 천호대로170길 47 1층
269,2,3,정우로또,서울 강동구 길동  390-20
269,2,4,공덕알파,서울 마포구 독막로 146 1층 102호
269,2,5,말죽거리로또,서울 서초구 양재동  11-26
269,2,6,통일기금닷컴,서울 종로구 종로6가  251-1
269,2,7,훼미리마트(신당대성),서울 중구 신당동  102-2 대승빌딩1층
269,2,8,왕신편의점,부산 서구 토성동4가  28-6
269,2,9,복권왕국,대구 북구 칠곡중앙대로 632
269,2,10,천하복권방,인천 중구 신포로 19
269,2,11,천하제일복권명당,대전 동구 새울로 93
269,2,12,대호상사,경기 성남시 분당구 야탑동 355-1세화2001빌딩107
269,2,13,아트 플라워,경기 용인시 처인구 백옥대로 1109
269,2,14,황금복권방,강원 동해시 북평동  12-5
269,2,15,로또전문점,강원 춘천시 퇴계동  1006-3
269,2,16,우리쇼핑프라자,강원 춘천시 애막골길20번길 1 1층 우측
269,2,17,영약국,충남 금산군 인삼로 104
269,2,18,삼팔로또,충남 서천군 서천읍 군사리 군사리 696-5
269,2,19,훼미리마트나주점,전남 나주시 성북동  139-5
269,2,20,연합복권,경남 김해시 함박로101번길 22 삼우빌딩104호 복권판매점
269,2,21,울트라마트,경남 김해시 장유면 대청리 대청리 333-3 갑오마을부영8차상가지하 101
269,2,22,우주로또판매,경남 마산시 산호동  323-3  가야빌딩1층
270,1,1,복권방(천하명당),서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202
270,1,2,GS25(명륜아남),서울 종로구 명륜1가  46-18
270,1,3,행운복권,"인천 부평구 배곶로 24 지1층 비03호(십정동, 이즈라이프아파트)"
270,1,4,복권명당,충남 공주시 번영1로 41
270,1,5,훼미리마트월영마을점,경남 창원시 마산합포구 월영남로 21
270,2,1,미나식품(로또판매점),서울 강서구 금낭화로 91-12
270,2,2,복권마을,서울 구로구 구로동로 72
270,2,3,영광문구,서울 금천구 범안로 1186
270,2,4,종로식품,서울 동작구 상도동  365-1
270,2,5,GS25(금호),서울 성동구 금호동4가  4-1438번지
270,2,6,가로판매 1-4-28,서울 성동구 고산자로 348 SK 주유소 앞 가판
270,2,7,버스카드판매소,서울 용산구 동자동  43-56
270,2,8,애니타임,부산 금정구 서동  204-13
270,2,9,과정미니슈퍼,부산 연제구 과정로 234-1
270,2,10,대박로또,대구 북구 고성동2가  112-3 고성아파트상가 101-18
270,2,11,㈜ Cspace 범물청구점,대구 수성구 범물동  1277-11
270,2,12,서흥로또방,인천 동구 화도진로 84 1층
270,2,13,복권천하,인천 부평구 부개동  492-8
270,2,14,천하명당복권전문점,광주 광산구 사암로216번길 10-9
270,2,15,천재일우,광주 동구 밤실로 27-1
270,2,16,GS25(대전송촌),대전 대덕구 송촌동  456-9
270,2,17,승차권판매소,대전 서구 둔산2동  1034번지
270,2,18,천하명당 복권방,대전 중구 중촌동  398-10
270,2,19,대박찬스,경기 광주시 송정로 69 나산상가1층4호
270,2,20,한국슈퍼,경기 부천시 원종로35번길 24 한울빌리지 상가101호
270,2,21,로또 복권방,경기 성남시 분당구 정자동 정자동 156-1젤존타워110
270,2,22,오이도직판장마트,경기 시흥시 오이도로 167 오이도이주단지B
270,2,23,둘리복권방,경기 시흥시 중심상가2길 12-6 한강프라자제1층101호
270,2,24,대박로또,경기 안산시 단원구 중앙대로 457 102호
270,2,25,복권전당,강원 속초시 동해대로 4007 1층
270,2,26,토토군로또양,강원 양구군 양구읍 상리 상리 227-7
270,2,27,대박로또복권,강원 원주시 관설동  1771-6패밀리마트관설에버빌점
270,2,28,바른손(퇴계점),강원 춘천시 퇴계로 168 주공2단지상가101호
270,2,29,와이마트,전북 전주시 완산구 삼천동1가 삼천동1가 599-2
270,2,30,복권명당,경북 경산시 하양읍 금락리 금락리 19-4
270,2,31,복권명당2호점,경남 밀양시 내일동  487번지
270,2,32,소답시내버스매표소,경남 창원시 의창구 의안로2번길 17 가판
271,1,1,팬레코드,부산 남구 수영로 253
271,1,2,대원슈퍼마켓,부산 수영구 수영로 524
271,1,3,선마트로또점,대구 달서구 월성동  275-2    105
271,1,4,GS25(안산팔곡),경기 안산시 상록구 본오동 본오동 741-5 1층 101
271,1,5,복권나라,충북 청주시 청원구 율봉로176번길 8-2
271,1,6,로터리편의마트,경북 포항시 북구 서동로 85 육거리
271,2,1,목동로또,서울 강서구 화곡동  1065-31
271,2,2,복권나라,서울 관악구 남부순환로 1739-9
271,2,3,GS25(방학),서울 도봉구 방학2동  603-28
271,2,4,가로판매점,서울 서초구 신반포로 189 반포쇼핑4동 정문 앞 가로판매점
271,2,5,천하명당복권방,서울 송파구 백제고분로41길 7 1층
271,2,6,럭키복권샵,서울 송파구 성내천로 218
271,2,7,가판점(신문),서울 영등포구 양평로 50-2
271,2,8,경기상회,인천 남동구 장승남로 42 104호
271,2,9,찬스센타 백운점,인천 부평구 신촌로7번길 3
271,2,10,대박찬스복권방,인천 연수구 연수동  532 대림상가 1층 111호-1
271,2,11,스포츠토토복권방,광주 광산구 월계로 58 1층
271,2,12,용꿈돼지꿈,경기 고양시 일산동구 견달산로 249
271,2,13,프리웨이스토어,경기 광주시 회안대로 605 1층
271,2,14,패밀리복권방,경기 광주시 오포읍 능평리 능평리 152-13
271,2,15,우리세무회계경영컨설,경기 안산시 상록구 석호로 189 101호
271,2,16,복권나라,경기 양평군 양근로190번길 2 1층
271,2,17,상현로또,경기 용인시 수지구 상현동 상현동 254 원희캐슬프라자 LG25시 편의 A-104
271,2,18,복권나라,경기 포천시 죽엽산로35번길 1
271,2,19,훼미리마트(강릉경포),강원 강릉시 강문동  294-1 105
271,2,20,로또인삼,충남 천안시 동남구 옛시청길 29 힐스테이트아파트 상가 207호
271,2,21,에덴마트,전북 완주군 삼례읍 삼례리 삼례리 1264-1
271,2,22,용미사진관(로또),전남 순천시 팔마로 113-1 용미사진관
271,2,23,알짜마트왕지점,전남 순천시 왕궁길 60 중흥파크상가 309-101호
271,2,24,노다지,전남 순천시 조례동  957-11 1층
271,2,25,로또복권,경북 구미시 신시로10길 80 1층
271,2,26,훼미리마트 상도점,경북 포항시 남구 문예로 68 우측상가
271,2,27,AB-로또방,경남 밀양시 내일동  389
271,2,28,대우할인매장,경남 창원시 성산구 정동로162번길 74 대운상가1층109
272,1,1,Yes할인마트,서울 강남구 개포로 202 1층 이마트 24
272,1,2,대창,서울 강동구 상암로 211 1층
272,1,3,오거리마트,서울 은평구 응암로14길 6
272,1,4,훼밀리복권,부산 금정구 중앙대로1719번길 37 우측 복권판매점
272,1,5,청솔서점,부산 사하구 하신번영로 195
272,1,6,승리 로또당리점,부산 사하구 당리동  324-19
272,1,7,복권명당,대구 동구 효동로 45
272,1,8,대박복권방,울산 동구 진성8길 133
272,1,9,로또판매업,경남 양산시 북정로 31 CU편의점 내
272,2,1,훼미리마트(명일우량),서울 강동구 명일동  48-12
272,2,2,미나식품(로또판매점),서울 강서구 금낭화로 91-12
272,2,3,가로판매점,서울 관악구 과천대로 955
272,2,4,지원물산,서울 노원구 공릉로 108
272,2,5,신설동6번출구가판점,서울 동대문구 한천로 174
272,2,6,믿음슈퍼,서울 송파구 거여동  5-23
272,2,7,행운로또,서울 영등포구 신길동  237-11
272,2,8,갤러리마트,서울 중랑구 사가정로 387
272,2,9,팬레코드,부산 남구 수영로 253
272,2,10,프리타임,부산 동구 좌천동  683-5
272,2,11,동원무지개로또,부산 사상구 괘법동  522-1 원바이로 편의점
272,2,12,황금돼지복권방,부산 연제구 중앙대로 1204
272,2,13,왕대박로또방,부산 해운대구 좌동  998-7 1층
272,2,14,매표소(가판대),인천 부평구 마장로 387 가판 도깨비시장청원B/D앞
272,2,15,연초매점,대전 중구 대둔산로 472-1
272,2,16,복권천국,대전 중구 충무로 87 1층
272,2,17,훼미리마트대공원점,울산 남구 신정동  1079-9
272,2,18,CN마트,울산 동구 대학길 76 1층102호
272,2,19,모닝마트성남다우점,울산 중구 성남동  57-22
272,2,20,대림통상,울산 중구 신기14길 1 일신아파트상가102호
272,2,21,보은상회,경기 김포시 북변동  375-10
272,2,22,복권명당집시장점,경기 동두천시 지행동  718-3 송내프라자 103
272,2,23,조은날슈퍼,경기 성남시 수정구 신흥1동 신흥1동 4227번지
272,2,24,와우복권,경기 수원시 팔달구 동말로 60
272,2,25,매화정보통신,경기 시흥시 매화1로 3
272,2,26,로또복권,경기 의정부시 장암동  20-9
272,2,27,보광문구사,경기 파주시 문산읍 문산4리 문산4리 17-55 1층
272,2,28,천하명당,경기 평택시 탄현로 224
272,2,29,로또왕대박,경기 화성시 와우안길 46 1층
272,2,30,복권나라,강원 원주시 북원로 2706 1층
272,2,31,경북슈퍼,강원 원주시 남원로 70 1층
272,2,32,복권나라,강원 원주시 원일로 219 1층
272,2,33,바른손(퇴계점),강원 춘천시 퇴계로 168 주공2단지상가101호
272,2,34,파란통신,전북 전주시 완산구 평화동2가 평화동2가 230-15 고덕빌딩 1-2
272,2,35,복권나라,전남 목포시 당가두로14번길 47-1 103호(옥암동) 복권나라
272,2,36,24그린마트,전남 신안군 봉리길 10 24그린마트
272,2,37,로또복권,경북 경산시 옥산동  864 훼밀리마트
272,2,38,미래복권방,경북 영천시 시장2길 7 5호
272,2,39,로또유통칠곡점,경북 칠곡군 칠곡대로 1485 아이나비 매장내 복권판매점
273,1,1,에스에프마트,울산 북구 동대17길 2
273,1,2,행운복권마트,경기 포천시 신읍동  58-16
273,1,3,삼성로또복권방슈퍼,전북 남원시 네마실1길 10-5
273,2,1,복권방,서울 구로구 구로동  409-80 1층
273,2,2,스포츠토토,서울 구로구 시흥대로 577-11 103호
273,2,3,GS25(경성중앙),부산 남구 대연동  72-7
273,2,4,무지개복권방,부산 북구 구포동  1248-25
273,2,5,대박골드,부산 중구 보수동1가  77-21
273,2,6,로또복권판매점,인천 부평구 갈산1동  70-1
273,2,7,하이마트,인천 서구 심곡동  333-7
273,2,8,송도복권나라,인천 연수구 동춘동  인천 연수 송도 2-6송도프라자108호
273,2,9,티켓세상(복권방),광주 서구 쌍촌동  1228-1 시영A상가 101
273,2,10,대한민국마트,대전 유성구 전민로46번길 40 다세대주택 1층
273,2,11,대광광고사,대전 유성구 구즉로 54
273,2,12,춤추는로또,울산 울주군 언양읍 남부리 남부리 115-1
273,2,13,안양1번가버스표가판,경기 안양시 만안구 안양1동 안양1동 674-130 이안과 앞 가판점
273,2,14,쌍용 로또,경기 용인시 기흥구 상하동 상하동 163-9 신풍빌딩106
273,2,15,오또로또,경기 이천시 마장면 오천리 오천리 283-15
273,2,16,daily24로또,강원 원주시 신지정로 322-1 1층 101호
273,2,17,복권나라,강원 원주시 원일로 219 1층
273,2,18,DC 할인마트,충남 서산시 서해로 3207 세븐일레븐편의점 옆
273,2,19,로또복권등기소점,경북 구미시 봉곡남로 77
273,2,20,로터리편의마트,경북 포항시 북구 서동로 85 육거리
273,2,21,개미복권,경남 창원시 동정동  290-11
274,1,1,영훈슈퍼마켓,서울 도봉구 덕릉로 222
274,1,2,로또,서울 중구 신당동  133-14
274,1,3,오렌지마트,부산 사하구 장림번영로 96 105동 101호
274,1,4,북마산복권전문점,경남 창원시 마산합포구 북성로 98
274,2,1,강하식품,서울 강남구 역삼동  640-21
274,2,2,훼미리 삼성해광,서울 강남구 삼성동  158-13 해광빌딩
274,2,3,가판점,서울 강동구 양재대로 1370-1 둔촌역 1번 출구 가판
274,2,4,가로 판매점,서울 강서구 공항동  53-41
274,2,5,노다지 복권방],서울 노원구 상계로 78
274,2,6,용꿈돼지꿈,서울 마포구 마포대로 112-5
274,2,7,담배5호,서울 서초구 신반포로 194 쇼케이스12호
274,2,8,가로판매점,서울 용산구 원효로 166
274,2,9,로또대박,서울 중구 중림동  154-1
274,2,10,프레야행운방,서울 중구 다산로36길 21
274,2,11,돈벼락맞는곳,부산 동구 조방로49번길 18-1
274,2,12,복권천국,"부산 해운대구 해운대로 620 1층 114호(우동, 해운대 라뮤에뜨)"
274,2,13,GS25(감삼),대구 달서구 감삼동  46-14
274,2,14,통신세계,인천 남구 주안동  1485-2  103
274,2,15,충장인업사,광주 동구 제봉로 35
274,2,16,베스토아(용전2호),대전 동구 동서대로 1689 복합터미널서관1층59호
274,2,17,세븐로또복권방,대전 유성구 신성동  122-10
274,2,18,대박복권방,울산 동구 진성8길 133
